epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.56941,1.76578,2.82522,1.68439,0.0103,0.94444,0.13144,0.0531,1.81078,2.87988,1.87829,4e-05,4e-05,4e-05
2,11.2299,1.74699,2.69363,1.65709,0.01091,1,0.29604,0.1571,1.34121,2.67799,1.41744,9.802e-05,9.802e-05,9.802e-05
3,15.4761,1.25592,2.62174,1.31906,0.01091,1,0.38464,0.23037,1.0257,2.52645,1.1586,0.000153664,0.000153664,0.000153664
4,19.6743,1.10914,2.34896,1.27796,0.01091,1,0.46438,0.3082,0.79586,2.4422,1.00626,0.000206932,0.000206932,0.000206932
5,23.9096,1.08519,2.17835,1.27081,0.01091,1,0.53547,0.3931,0.67754,2.39631,0.93399,0.000257824,0.000257824,0.000257824
6,28.0653,0.95651,2.05282,1.13858,0.01091,1,0.69648,0.51766,0.63099,2.33568,0.90991,0.00030634,0.00030634,0.00030634
7,32.1881,0.80542,1.68152,1.0527,0.01091,1,0.79242,0.5466,0.64628,2.24564,0.90955,0.00035248,0.00035248,0.00035248
8,36.4852,0.96984,1.85721,1.13777,0.15008,1,0.70062,0.47934,0.76246,2.105,0.93202,0.000396244,0.000396244,0.000396244
9,40.2999,0.91322,1.68399,1.11487,0.15008,1,0.70062,0.47934,0.76246,2.105,0.93202,0.000437632,0.000437632,0.000437632
10,44.3232,0.81596,1.37657,1.09277,0.62006,0.66667,0.64438,0.46559,0.69737,1.85072,0.93103,0.000476644,0.000476644,0.000476644
11,48.2818,0.74035,1.54788,1.03956,0.62006,0.66667,0.64438,0.46559,0.69737,1.85072,0.93103,0.00051328,0.00051328,0.00051328
12,52.3197,0.81797,1.36169,1.04407,0.79128,0.83333,0.88305,0.65645,0.72438,1.4862,0.97846,0.00054754,0.00054754,0.00054754
13,56.1531,0.8584,1.18316,1.09348,0.79128,0.83333,0.88305,0.65645,0.72438,1.4862,0.97846,0.000579424,0.000579424,0.000579424
14,60.2085,0.7857,1.23187,1.02617,0.90659,1,0.98287,0.79231,0.76468,1.07041,0.96485,0.000608932,0.000608932,0.000608932
15,64.2207,0.93383,1.28048,1.07006,0.90659,1,0.98287,0.79231,0.76468,1.07041,0.96485,0.000636064,0.000636064,0.000636064
16,68.1472,0.84397,1.16442,1.04138,0.90659,1,0.98287,0.79231,0.76468,1.07041,0.96485,0.00066082,0.00066082,0.00066082
17,72.1499,0.84373,1.05956,1.07155,0.98394,0.97222,0.99446,0.84115,0.6182,1.03652,0.89262,0.0006832,0.0006832,0.0006832
18,76.0319,0.77681,1.18454,0.98464,0.98394,0.97222,0.99446,0.84115,0.6182,1.03652,0.89262,0.000703204,0.000703204,0.000703204
19,79.9076,0.89445,1.30099,1.16515,0.98394,0.97222,0.99446,0.84115,0.6182,1.03652,0.89262,0.000720832,0.000720832,0.000720832
20,83.9732,0.83411,1.05168,1.05212,1,0.96578,0.99446,0.82491,0.64592,1.41272,0.90463,0.000736084,0.000736084,0.000736084
21,87.7926,0.77705,1.05811,0.99183,1,0.96578,0.99446,0.82491,0.64592,1.41272,0.90463,0.00074896,0.00074896,0.00074896
22,91.9405,0.72763,1.18534,0.99535,1,0.96578,0.99446,0.82491,0.64592,1.41272,0.90463,0.00075946,0.00075946,0.00075946
23,95.8281,0.88929,1.15518,1.12418,1,0.96578,0.99446,0.82491,0.64592,1.41272,0.90463,0.000767584,0.000767584,0.000767584
24,99.9783,0.79693,1.05339,1.00831,1,0.96555,0.993,0.84029,0.61894,0.88944,0.88556,0.000773332,0.000773332,0.000773332
25,103.86,0.76257,1.1529,1.12073,1,0.96555,0.993,0.84029,0.61894,0.88944,0.88556,0.000776704,0.000776704,0.000776704
26,108.138,0.73759,1.03763,1.01951,1,0.96555,0.993,0.84029,0.61894,0.88944,0.88556,0.0007777,0.0007777,0.0007777
27,112.092,0.79734,1.07529,1.02609,1,0.96555,0.993,0.84029,0.61894,0.88944,0.88556,0.00077632,0.00077632,0.00077632
28,116.029,0.76971,1.01921,1.00845,1,0.96555,0.993,0.84029,0.61894,0.88944,0.88556,0.000772564,0.000772564,0.000772564
29,120.187,0.6834,0.92412,0.95566,0.97292,0.99822,0.99284,0.83753,0.58276,0.78762,0.87187,0.000766432,0.000766432,0.000766432
30,124.605,0.70981,0.9421,1.01078,0.97292,0.99822,0.99284,0.83753,0.58276,0.78762,0.87187,0.000757924,0.000757924,0.000757924
31,128.848,0.68303,1.02281,0.99882,0.97292,0.99822,0.99284,0.83753,0.58276,0.78762,0.87187,0.00074704,0.00074704,0.00074704
32,133.007,0.75252,0.94975,0.99929,0.97292,0.99822,0.99284,0.83753,0.58276,0.78762,0.87187,0.00073378,0.00073378,0.00073378
33,137.305,0.73357,1.37784,1.05823,0.97292,0.99822,0.99284,0.83753,0.58276,0.78762,0.87187,0.000718144,0.000718144,0.000718144
34,141.369,0.85253,1.97101,1.03081,0.97287,0.99607,0.99446,0.83603,0.61208,0.83659,0.87912,0.0006932,0.0006932,0.0006932
35,145.455,0.66217,0.92674,0.96505,0.97287,0.99607,0.99446,0.83603,0.61208,0.83659,0.87912,0.0006536,0.0006536,0.0006536
36,149.371,0.66859,0.9426,1.00412,0.97287,0.99607,0.99446,0.83603,0.61208,0.83659,0.87912,0.000614,0.000614,0.000614
37,153.353,0.6629,0.95019,0.97765,0.97287,0.99607,0.99446,0.83603,0.61208,0.83659,0.87912,0.0005744,0.0005744,0.0005744
38,157.378,0.77086,1.03853,1.03373,0.97287,0.99607,0.99446,0.83603,0.61208,0.83659,0.87912,0.0005348,0.0005348,0.0005348
39,161.302,0.77927,1.03073,1.0603,0.97287,0.99607,0.99446,0.83603,0.61208,0.83659,0.87912,0.0004952,0.0004952,0.0004952
40,165.372,0.6554,0.84348,0.90833,1,0.99574,0.995,0.84421,0.60569,0.76022,0.87756,0.0004556,0.0004556,0.0004556
41,169.144,0.51589,1.0358,0.93818,1,0.99574,0.995,0.84421,0.60569,0.76022,0.87756,0.000416,0.000416,0.000416
42,172.921,0.54251,1.21097,0.86043,1,0.99574,0.995,0.84421,0.60569,0.76022,0.87756,0.0003764,0.0003764,0.0003764
43,176.81,0.5282,1.6425,0.97871,1,0.99574,0.995,0.84421,0.60569,0.76022,0.87756,0.0003368,0.0003368,0.0003368
44,180.668,0.59584,1.11359,0.9156,1,0.99574,0.995,0.84421,0.60569,0.76022,0.87756,0.0002972,0.0002972,0.0002972
45,184.646,0.63082,1.16424,1.05703,0.99941,1,0.995,0.86269,0.5463,0.70719,0.85728,0.0002576,0.0002576,0.0002576
46,188.63,0.53677,0.96896,0.87501,0.99941,1,0.995,0.86269,0.5463,0.70719,0.85728,0.000218,0.000218,0.000218
47,192.43,0.56986,1.03536,0.95311,0.99941,1,0.995,0.86269,0.5463,0.70719,0.85728,0.0001784,0.0001784,0.0001784
48,196.212,0.53951,1.00776,0.92656,0.99941,1,0.995,0.86269,0.5463,0.70719,0.85728,0.0001388,0.0001388,0.0001388
49,200.005,0.50777,1.04479,0.90861,0.99941,1,0.995,0.86269,0.5463,0.70719,0.85728,9.92e-05,9.92e-05,9.92e-05
50,203.857,0.4947,0.96559,0.88692,0.9991,1,0.995,0.87679,0.51874,0.70615,0.84761,5.96e-05,5.96e-05,5.96e-05
